grid_id,LST_mean,LST_stdDev,LST_min,LST_max,LST_median
7786,301.2622727272727,0.18499999998861016,301.01,301.38,301.38
7788,304.88,0.0,304.88,304.88,304.88
7789,,,,,
7790,305.46,0.0,305.46,305.46,305.46
7796,305.28000000000003,0.0,305.28000000000003,305.28000000000003,305.28000000000003
7797,301.52,0.0,301.52,301.52,301.52
7802,303.42,0.0,303.42,303.42,303.42
7804,302.17548387096775,0.13000000000904458,302.1,302.36,302.1
7809,300.63166666666666,0.21752873374082585,300.32,300.88,300.69000000000005
7810,304.84000000000003,0.7425332016396012,303.39,305.09000000000003,304.8
7813,304.06,0.0,304.06,304.06,304.06
7815,302.1,0.0,302.1,302.1,302.1
7818,,,,,
7819,303.48,0.0,303.48,303.48,303.48
7820,301.3,0.0,301.3,301.3,301.3
7821,307.82933333333335,1.1200000000023491,307.68,309.92,307.68
7822,303.92499999999995,0.37500000001940254,303.54999999999995,304.3,303.92499999999995
7823,,,,,
7824,301.876,0.539884246858017,300.92,302.34000000000003,301.94
7827,302.54999999999995,0.0,302.54999999999995,302.54999999999995,302.54999999999995
7828,302.3946666666667,0.4899999999953434,301.48,302.46000000000004,302.46000000000004
7829,309.78000000000003,0.0,309.78000000000003,309.78000000000003,309.78000000000003
7830,302.18,0.0,302.18,302.18,302.18
7832,301.7143478260869,0.6050000000084859,300.82,302.03,302.03
7834,303.3,0.0,303.3,303.3,303.3
7835,304.63,0.0,304.63,304.63,304.63
7839,307.36,0.0,307.36,307.36,307.36
7840,305.14,0.0,305.14,305.14,305.14
7841,301.5144827586207,0.010000000237487254,301.5,301.52,301.52
7842,302.8,0.0,302.8,302.8,302.8
7843,299.66,0.0,299.66,299.66,299.66
7844,302.18,0.2899999999624259,301.78000000000003,302.36,302.36
7845,311.64,0.07499999993791183,311.59000000000003,311.74,311.59000000000003
7850,304.86,0.0,304.86,304.86,304.86
7851,303.5696,0.269999999971586,303.44,303.98,303.44
7852,301.60300000000007,0.014999999871167043,301.59000000000003,301.62,301.59000000000003
7855,301.06,0.0,301.06,301.06,301.06
7856,302.22,0.0,302.22,302.22,302.22
7864,308.108275862069,0.46505376033192025,307.72,308.96,307.72
7866,,,,,
